maqam,title,composer,performer,base_path,youtube,spotify
Huseyni,Huseyni Saz Eseri,Goksel Baktagir,Goksel Baktagir,MusicPieces/Huseyni Saz Eseri - Goksel Baktagir,https://www.youtube.com/watch?v=m0oCmPVyR3Q,https://open.spotify.com/track/5WEQmygmMqxgV9OBKl75HI?si=42263391196a441e
Rast,Dulab Rast,גלעד חזן,גלעד חזן,MusicPieces/Dulab Rast - Gilad Hazan,,
Huseyni,Huseyni Dugun Evinde,Huseyin Sadeddin Arel,Mehmet Bitmez,MusicPieces/Huseyni Dugun Evinde - Huseyin Sadeddin Arel,https://www.youtube.com/watch?v=oN9SQqMbYIY&list=RDoN9SQqMbYIY&start_radio=1,https://open.spotify.com/track/7Ansss5xRhqiCEwca27VXZ?si=b889dc6a002f485f
Rast,Samai Rast,George Michel,George Michel,MusicPieces/Samai Rast - George Michel,https://youtu.be/_OZo-QBb6jY?si=Fd2Svhs1TG-A0VAK,
Uşşak,Uşşak Peşrev 'Çenber',Zurnazen Ibrahim Ağa,Uşşak Peşrev 'Çenber' - Zurnazen Ibrahim Ağa,MusicPieces/Uşşak Peşrev 'Çenber' - Zurnazen Ibrahim Ağa,https://www.youtube.com/watch?v=iDZUH9vm6i8&list=PL9vmxwxosf1BBqD383UHESUJneHKBdyux,
Uşşak,Uşşak Saz Semai - Targan,Şerif Muhiddin,Şerif Muhiddin,MusicPieces/Uşşak Saz Semai - Şerif Muhiddin Targan,https://www.youtube.com/watch?v=K62Cc6CSB_4&list=RDK62Cc6CSB_4&start_radio=1,
Uşşak,Uşşak Sirto,Tanburi Necip Gulses,Murat Aydemir and Derya Turkan,MusicPieces/Ussak Sirto - Tanburi Necip Gulses,https://www.youtube.com/watch?v=4XLYG2NGVRs&list=RD4XLYG2NGVRs&start_radio=1,https://open.spotify.com/track/45HxAkTh82TF3qb1F8Vr1A?si=6fe293f56f9a4ae5
Huseyni,Huseyni Peşrev,Lavtaci Andon,Evgenios Voulgaris and Lavtaci Andon,MusicPieces/Huseyni Peşrev - Lavtaci Andon,https://www.youtube.com/watch?v=dehdMeSgXAE,https://open.spotify.com/track/7fHbkK5aontHhKQb07DS5g?si=f0724f8578144acc
Huseyni,Hüseyni Saz Semâî,Tatyos Efendi,Richard A. Agopian,MusicPieces/Hüseyni Saz Semâî - Tatyos Efendi,https://www.youtube.com/watch?v=F7cOBQ07s0M,https://open.spotify.com/track/1Z6Xk8DMCD8VRkeJAHkKxx?si=65833cf79a7047c0
Huseyni,אל מסתתר,לא ידוע,MusicPieces/אל מסתתר,עוזיאל סבתו,https://www.youtube.com/watch?v=cQxrkSbfOF0,https://open.spotify.com/track/33KMnlkDgK3MW1etMjQPzr?si=f68d6acda2c44c68
Bayat,Aal Dayaa,Muhammed Abdel Wahab,Sabah,MusicPieces/Al Daya - Sabah,https://www.youtube.com/watch?v=aGH1eunSF9g,https://open.spotify.com/track/5ILDLmoya4KZXmbUospxuZ?si=279d80292dc64d83
Bayat,Rabeeh Oud Taksim,Farid El Atrash,Farid El Atrash,MusicPieces/Rabeeh Oud Taksim - Farid El Atrash,https://www.youtube.com/watch?v=2iGl0cVwITo,,
